Username,User,cover,P,explosion,P,carnival,P,Global,P
user18,krit3379 ,100.0,,100.0,,100.0,,300.0,
user86, ,100.0,,100.0,,100.0,,300.0,
user119,ไม่ได้เบียวแค่เป็นหนึ่งเดียวกับอัลกอ ,100.0,,100.0,,100.0,,300.0,
user49,SirCostumePremier ,100.0,,100.0,,100.0,,300.0,
user17,spad1e ,100.0,,100.0,,74.0,,274.0,
user142,helloworld007 ,100.0,,100.0,,74.0,,274.0,
user113,ที่หนึ่ง TOI18 ,100.0,,58.0,,100.0,,258.0,
user89,peteza ,100.0,,100.0,,34.0,,234.0,
user116,alletun ,100.0,,100.0,,34.0,,234.0,
user72,my99n ,100.0,,100.0,,32.0,,232.0,
user122,Capitalism ,100.0,,100.0,,0.0,,200.0,
user25,Kanation ,100.0,,32.0,,52.0,,184.0,
user66,C-Y ,100.0,,32.0,,14.0,,146.0,
user54,potatai ,100.0,,14.0,,8.0,,122.0,
user22,ttamx ,100.0,,14.0,,8.0,,122.0,
user117,ดูดูบาบี ,100.0,,0.0,,14.0,,114.0,
user16,Salty ,100.0,,14.0,,0.0,,114.0,
user23,LeViAtHaN ,100.0,,0.0,,0.0,,100.0,
user61,SF ,16.0,,32.0,,32.0,,80.0,
user15,DeepAung ,11.0,,0.0,,62.0,,73.0,
user12,iamporrrrrrrrr ,0.0,,58.0,,0.0,,58.0,
user3,ItsGuitar ,5.0,,14.0,,32.0,,51.0,
user29,auresol ,30.0,,0.0,,20.0,,50.0,
user87, ,11.0,,4.0,,34.0,,49.0,
user94,cocodrream ,16.0,,14.0,,18.0,,48.0,
user42,LT. ,15.0,,32.0,,0.0,,47.0,
user43,mxrs ,11.0,,14.0,,18.0,,43.0,
user35,PhoenixPal ,39.0,,0.0,,0.0,,39.0,
user40,K1ngK0br4 ,39.0,,0.0,,0.0,,39.0,
user34,LOOOOUIS ,39.0,,0.0,,0.0,,39.0,
user39,HexTex ,0.0,,14.0,,20.0,,34.0,
user1,RL ,0.0,,14.0,,18.0,,32.0,
user38,Mount Everest ,30.0,,0.0,,0.0,,30.0,
user81,Ck. ,0.0,,14.0,,14.0,,28.0,
user98,riodsa ,0.0,,28.0,,0.0,,28.0,
user135,Rrr_ ,11.0,,14.0,,0.0,,25.0,
user97,Fnzx ,11.0,,14.0,,0.0,,25.0,
user27,Tk2549 ,11.0,,14.0,,0.0,,25.0,
user47,PIKTWS ,16.0,,0.0,,0.0,,16.0,
user151,omeygun ,16.0,,0.0,,0.0,,16.0,
user103,Karnhh._. ,0.0,,14.0,,0.0,,14.0,
user67,aruna ,0.0,,14.0,,0.0,,14.0,
user41,Blackslex ,0.0,,14.0,,0.0,,14.0,
user146,GetGetGet ,0.0,,14.0,,0.0,,14.0,
user118,MKb ,0.0,,14.0,,0.0,,14.0,
user51,Heistsc  ,0.0,,14.0,,0.0,,14.0,
user13,คฤจภัค คิฤถฤงคิธแคท ,11.0,,0.0,,0.0,,11.0,
user20,kornkin.png ,11.0,,0.0,,0.0,,11.0,
user28,ไปหาสาวที่ มช (songsapk) ,11.0,,0.0,,0.0,,11.0,
user108,Mularstyle ,11.0,,0.0,,0.0,,11.0,
user19,Taihen ,11.0,,0.0,,0.0,,11.0,
user147,WU chalk ,11.0,,0.0,,0.0,,11.0,
user46,;-; ,11.0,,0.0,,0.0,,11.0,
user130,Lo0k4rOund ,11.0,,0.0,,0.0,,11.0,
user129,ปรัชญาพงษ์ มโนศิลปกร ,5.0,,0.0,,0.0,,5.0,
user70,naphattar ,0.0,,4.0,,0.0,,4.0,
user33,KKU อ่ะนะจ้ะ ,0.0,,0.0,,0.0,,0.0,
user83,... ,0.0,,0.0,,0.0,,0.0,
user144,wootwoot ,0,,0.0,,0.0,,0.0,
user78,cbup ,0.0,,0.0,,0.0,,0.0,
user11,qsxcgy ,0.0,,0.0,,0.0,,0.0,
user128, ,0.0,,0.0,,0.0,,0.0,
user80,DoMyBest ,0.0,,0.0,,0.0,,0.0,
user136,Ham1477 ,0.0,,0.0,,0.0,,0.0,
user123,Nattawee ,0.0,,0.0,,0.0,,0.0,
user145,sawdust ,0.0,,0.0,,0.0,,0.0,
user127,ppint ,0.0,,0.0,,0.0,,0.0,
user110, ,0.0,,0.0,,0.0,,0.0,
user57,เหงาจริงไม่ได้อ่อย หมูกระทะก็อร่อยแต่น้อยกว่าเรา ,0.0,,0.0,,0.0,,0.0,
user79,Pchr ,0.0,,0.0,,0.0,,0.0,
user30,KZK ,0.0,,0.0,,0.0,,0.0,
user100,Inferno ,0.0,,0.0,,0.0,,0.0,
user148,MK ,0.0,,0.0,,0.0,,0.0,
user21,YEET ,0.0,,0.0,,0.0,,0.0,
user6, ,0.0,,0.0,,0.0,,0.0,
user143,Pornpipat ,0.0,,0.0,,0.0,,0.0,
user120,pnpppppp ,0.0,,0.0,,0.0,,0.0,
user4,Autoratch ,0.0,,0.0,,0.0,,0.0,
user124,ทานตะวัน ,0.0,,0.0,,0.0,,0.0,
user74,chocolate ,0.0,,0.0,,0.0,,0.0,
user153,kikan ,0.0,,0.0,,0.0,,0.0,
user62, ,0.0,,0.0,,0.0,,0.0,
user109,Rangsiman Jerabunjerdchai ,0.0,,0.0,,0.0,,0.0,
user68,Sirawitch ,0.0,,0.0,,0.0,,0.0,
user104,wah! ,0.0,,0.0,,0.0,,0.0,
user106,HFKekW ,0.0,,0.0,,0.0,,0.0,
user107,Bill1 ,0.0,,0.0,,0.0,,0.0,
user75,ติ๋ม ,0.0,,0.0,,0.0,,0.0,
user131,OrneryCash ,0.0,,0.0,,0.0,,0.0,
user111,demonstem ,0.0,,0.0,,0.0,,0.0,
user59,Fieldmarshal ,0.0,,0.0,,0.0,,0.0,
user55,555 ,0.0,,0.0,,0.0,,0.0,
user76,ต่าย ,0.0,,0.0,,0.0,,0.0,
user58,204 No Brain ,0.0,,0.0,,0.0,,0.0,
user36,singhaj ,0.0,,0.0,,0.0,,0.0,
user90, ,0.0,,0.0,,0.0,,0.0,
user50,ออกัส ,0.0,,0.0,,0.0,,0.0,
user73,Jemma  ,0.0,,0.0,,0.0,,0.0,
user137,XcraZ ,0.0,,0.0,,0.0,,0.0,
user105,Smart Wattanapornmongkol ,0.0,,0.0,,0.0,,0.0,
user10,Naxocist ,0.0,,0.0,,0.0,,0.0,
user133,Nacnano ,0.0,,0.0,,0.0,,0.0,
user56, ,0.0,,0.0,,0.0,,0.0,
user69,Fake PS LS ,0.0,,0.0,,0.0,,0.0,
user115,จักรราศี ทองเหลือง ,0.0,,0.0,,0.0,,0.0,
user26,Zenitho ,0.0,,0.0,,0.0,,0.0,
user132, ,0.0,,0.0,,0.0,,0.0,
user45,Ronnakorn Muangkan ,0.0,,0.0,,0.0,,0.0,
user126, ,0.0,,0.0,,0.0,,0.0,
user31,Alicia Chloride ,0.0,,0.0,,0.0,,0.0,
user102, ,0.0,,0.0,,0.0,,0.0,
user65,Natchamo ,0.0,,0.0,,0.0,,0.0,
user150,N ,0.0,,0.0,,0.0,,0.0,
user112,Fc พี่ธีครับ ,0.0,,0.0,,0.0,,0.0,
user85,Mooncake ,0.0,,0.0,,0.0,,0.0,
user84,DsD ,0.0,,0.0,,0.0,,0.0,
user121,Heistsc ,0.0,,0.0,,0.0,,0.0,
user14,moozxxx ,0.0,,0.0,,0.0,,0.0,
user141,I am only play it ,0.0,,0.0,,0.0,,0.0,
user139,CHAINS ,0.0,,0.0,,0.0,,0.0,
user9,kunzaZa183 ,0.0,,0.0,,0.0,,0.0,
user71,00000 ,0.0,,0.0,,0.0,,0.0,
user32,JB007 ,0.0,,0.0,,0.0,,0.0,
user37,Brnn ,0.0,,0.0,,0.0,,0.0,
user101, ,0.0,,0.0,,0.0,,0.0,
user60,ชกตงฮี จุกมั่กมาย ,0.0,,0.0,,0.0,,0.0,
user44,xz ,0.0,,0.0,,0.0,,0.0,
user5,sleepntsheep ,0.0,,0.0,,0.0,,0.0,
user93,kanyok ,0.0,,0.0,,0.0,,0.0,
user8,Mutelu ,0.0,,0.0,,0.0,,0.0,
user63,boonpasin ,0.0,,0.0,,0.0,,0.0,
user48,Adkq ,0.0,,0.0,,0.0,,0.0,
user24,Captainistz ,0.0,,0.0,,0.0,,0.0,
user99,Can I Tew You? ,0.0,,0.0,,0.0,,0.0,
user88,ToneDev ,0.0,,0.0,,0.0,,0.0,
user52,TorZyy ,0.0,,0.0,,0.0,,0.0,
user91,.tw ,0.0,,0.0,,0.0,,0.0,
user152,tantantantantantantantantann ,0.0,,0.0,,0.0,,0.0,
user149, ,0.0,,0.0,,0.0,,0.0,
user53,diaChoo ,0.0,,0.0,,0.0,,0.0,
user2,icy ,0.0,,0.0,,0.0,,0.0,
user125, ,0.0,,0.0,,0.0,,0.0,
user77,RoiEt ,0.0,,0.0,,0.0,,0.0,
user114,astt ,0.0,,0.0,,0.0,,0.0,
user140,Pockku ,0.0,,0.0,,0.0,,0.0,
user64,Luca kaneshiro fan ,0.0,,0.0,,0.0,,0.0,
user82,MICKY ,0.0,,0.0,,0.0,,0.0,
user138,KritTheBoi ,0.0,,0.0,,0.0,,0.0,
user7,Kcim ,0.0,,0.0,,0.0,,0.0,
user92,Pasit Khumsena ,0.0,,0.0,,0.0,,0.0,
user96,Parth ,0.0,,0.0,,0.0,,0.0,
user95,โค้ดทีคอมระเบิด ,0.0,,0.0,,0.0,,0.0,
